latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
28.21237,-0.1618,297.1,0.54,0.51,2023-12-07,111,1,VIIRS,n,2.0NRT,282.64,0.8,N
28.21372,7.43993,307.13,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,279.1,0.9,N
28.43349,7.5138,306.17,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,278.18,0.93,N
28.44898,9.13674,330.92,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,279.74,5.16,N
28.45652,7.51836,302.47,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,277.32,0.49,N
28.46543,9.05822,320.51,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,279.97,1.68,N
28.46609,9.05426,315.72,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,277.73,1.68,N
28.47148,7.50927,302.56,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,277.61,0.63,N
28.47806,7.51057,301.37,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,278.38,0.54,N
28.52623,9.12284,325.76,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,279.13,2.1,N
28.52689,9.11887,301.4,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,276.55,1.48,N
28.5587,7.51785,304.43,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,280.45,1.64,N
28.55931,7.51395,326.18,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,279.85,2.3,N
28.56052,7.46192,329.02,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,283.32,4.2,N
28.57828,7.65427,336.53,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,280.58,3.97,N
28.60207,7.25648,326.51,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,280.59,2.36,N
28.61749,7.70929,310.22,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,280.21,1.83,N
28.6181,7.70539,326.31,0.38,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,279.48,1.83,N
28.63269,9.78566,300.46,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,278.64,0.54,N
28.63604,9.7864,300.28,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,278.93,0.54,N
28.63742,7.53643,308.23,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,279.21,0.9,N
28.68603,7.19495,316.43,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,278.1,0.97,N
28.70339,8.93847,331.25,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,278.33,2.81,N
28.71159,9.03419,315.26,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,277.35,1.1,N
28.7153,8.94916,303.85,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,278.69,0.99,N
28.7212,7.52083,311.42,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,276.83,1.15,N
28.7327,9.15279,326.75,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,277.43,1.44,N
28.73423,9.78968,297.44,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,278.04,1.42,N
28.73601,9.1535,299.94,0.39,0.36,2023-12-07,111,1,VIIRS,n,2.0NRT,276.28,1.44,N
28.73759,9.79041,327.57,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,280.38,1.42,N
28.86713,9.93716,315.44,0.41,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,277.9,1.29,N
28.88058,9.94013,304.73,0.41,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,277.7,0.6,N
28.88854,10.02112,295.25,0.41,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,279.71,0.88,N
28.89448,9.96677,295.12,0.41,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,276.41,0.37,N
28.93516,10.01435,314.98,0.41,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,277.26,1.2,N
29.10757,9.66554,297.51,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,277.86,0.56,N
29.26892,6.49071,320.85,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,280.01,1.39,N
29.66916,6.72493,308.66,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,281.43,0.99,N
29.68671,6.69891,314.32,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,280.23,1.07,N
29.69006,6.69955,298.58,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,279.91,1.07,N
29.69281,6.70427,297.71,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,279.13,0.63,N
29.69615,6.70491,300.08,0.4,0.37,2023-12-07,111,1,VIIRS,n,2.0NRT,280.16,0.63,N
