latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
44.989527,-75.492518,16,29,6783,2607,2023-11-26,1551,L9,M,D
44.989529,-75.492137,16,29,6784,2607,2023-11-26,1551,L9,H,D
44.989799,-75.492139,16,29,6784,2606,2023-11-26,1551,L9,M,D
45.049451,-75.861805,16,29,5815,2377,2023-11-26,1551,L9,M,D
45.064469,-75.162778,16,29,7650,2333,2023-11-26,1551,L9,L,D
45.160789,-75.216109,16,29,7511,1976,2023-11-26,1551,L9,H,D
45.161059,-75.21611,16,29,7511,1975,2023-11-26,1551,L9,H,D
45.16106,-75.215728,16,29,7512,1975,2023-11-26,1551,L9,M,D
45.198606,-75.210523,16,29,7526,1836,2023-11-26,1551,L9,H,D
45.200327,-76.063851,16,29,5292,1812,2023-11-26,1551,L9,L,D
45.215008,-75.246116,16,29,7433,1775,2023-11-26,1551,L9,L,D
45.215278,-75.246117,16,29,7433,1774,2023-11-26,1551,L9,H,D
45.250911,-75.432455,16,29,6946,1640,2023-11-26,1551,L9,M,D
45.251925,-75.374733,16,29,7097,1637,2023-11-26,1551,L9,H,D
45.251926,-75.374351,16,29,7098,1637,2023-11-26,1551,L9,H,D
45.252196,-75.374353,16,29,7098,1636,2023-11-26,1551,L9,H,D
45.465107,-76.77071,16,29,3463,799,2023-11-26,1551,L9,H,D
45.466439,-76.771903,16,29,3460,794,2023-11-26,1551,L9,H,D
45.466445,-76.771519,16,29,3461,794,2023-11-26,1551,L9,H,D
45.466715,-76.771528,16,29,3461,793,2023-11-26,1551,L9,H,D
45.469672,-76.772388,16,29,3459,782,2023-11-26,1551,L9,H,D
45.469678,-76.772004,16,29,3460,782,2023-11-26,1551,L9,M,D
45.469942,-76.772397,16,29,3459,781,2023-11-26,1551,L9,H,D
45.469948,-76.772013,16,29,3460,781,2023-11-26,1551,L9,H,D
45.470212,-76.772405,16,29,3459,780,2023-11-26,1551,L9,H,D
45.553312,-76.926837,16,29,3064,463,2023-11-26,1551,L9,L,D
45.565518,-76.939557,16,29,3032,417,2023-11-26,1551,L9,M,D
45.565781,-76.93995,16,29,3031,416,2023-11-26,1551,L9,M,D
45.565788,-76.939566,16,29,3032,416,2023-11-26,1551,L9,H,D
39.072938,-78.103413,16,33,4760,3185,2023-11-26,1552,L9,L,D
39.073208,-78.103402,16,33,4760,3184,2023-11-26,1552,L9,H,D
39.073478,-78.103391,16,33,4760,3183,2023-11-26,1552,L9,L,D
39.138037,-78.037584,16,33,4942,2938,2023-11-26,1552,L9,L,D
39.477256,-79.066334,16,33,1951,1763,2023-11-26,1552,L9,H,D
39.477262,-79.066682,16,33,1950,1763,2023-11-26,1552,L9,H,D
39.477526,-79.066326,16,33,1951,1762,2023-11-26,1552,L9,M,D
39.555008,-77.327327,16,33,6926,1320,2023-11-26,1552,L9,L,D
39.557156,-77.721245,16,32,4654,6889,2023-11-26,1552,L9,M,D
39.557164,-77.720896,16,32,4655,6889,2023-11-26,1552,L9,M,D
39.557338,-77.720974,16,33,5798,1355,2023-11-26,1552,L9,M,D
39.59376,-77.718906,16,33,5799,1220,2023-11-26,1552,L9,H,D
